Author,Author Birth,Author Death,Author Given,Author Surname,Copyright Status,Language,LoC Class,Num,Subject,Title,charset,gd-num-padded,gd-path,href,Number of Authors,Number of Genres,is_english_fiction,original_path,tokenized_path,cw_df_path,Author Birth Century
['Edgar Rice Burroughs'],[1875],[1950],['Edgar Rice'],['Burroughs'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],64,"['Mars (Planet) -- Fiction', 'Science fiction']",['The Gods of Mars'],us-ascii,64,000/00064.txt,/6/64/64.zip,1,2,True,../data/gutenberg-dammit-files/000/00064.txt,../data/gutenberg-dammit-files/000/00064_tagged.pickle,../data/gutenberg-dammit-files/000/00064_cw_df.pickle,1800
['Edgar Rice Burroughs'],[1875],[1950],['Edgar Rice'],['Burroughs'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],68,"['Dejah Thoris (Fictitious character) -- Fiction', 'Mars (Planet) -- Fiction', 'Science fiction']",['Warlord of Mars'],us-ascii,68,000/00068.txt,/6/68/68.zip,1,3,True,../data/gutenberg-dammit-files/000/00068.txt,../data/gutenberg-dammit-files/000/00068_tagged.pickle,../data/gutenberg-dammit-files/000/00068_cw_df.pickle,1800
['Edgar Rice Burroughs'],[1875],[1950],['Edgar Rice'],['Burroughs'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],72,"['Mars (Planet) -- Fiction', 'Martians -- Fiction', 'Science fiction']","['Thuvia, Maid of Mars']",us-ascii,72,000/00072.txt,/7/72/72.zip,1,3,True,../data/gutenberg-dammit-files/000/00072.txt,../data/gutenberg-dammit-files/000/00072_tagged.pickle,../data/gutenberg-dammit-files/000/00072_cw_df.pickle,1800
['Stephen Crane'],[1871],[1900],['Stephen'],['Crane'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],73,"['War stories', 'Virginia -- History -- Civil War, 1861-1865 -- Fiction', 'Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction', 'Historical fiction']",['The Red Badge of Courage'],us-ascii,73,000/00073.txt,/7/73/73.zip,1,4,True,../data/gutenberg-dammit-files/000/00073.txt,../data/gutenberg-dammit-files/000/00073_tagged.pickle,../data/gutenberg-dammit-files/000/00073_cw_df.pickle,1800
['Mark Twain'],[1835],[1910],['Mark'],['Twain'],['Not copyrighted in the United States.'],['English'],"['PS: Language and Literatures: American and Canadian literature', 'PZ: Language and Literatures: Juvenile belles lettres']",74,"['Bildungsromans', 'Humorous stories', 'Adventure stories', 'Missouri -- Fiction', 'Mississippi River Valley -- Fiction', 'Boys -- Fiction', 'Male friendship -- Fiction', 'Child witnesses -- Fiction', 'Runaway children -- Fiction', 'Sawyer, Tom (Fictitious character) -- Fiction']",['The Adventures of Tom Sawyer'],us-ascii,74,000/00074.txt,/7/74/74.zip,1,10,True,../data/gutenberg-dammit-files/000/00074.txt,../data/gutenberg-dammit-files/000/00074_tagged.pickle,../data/gutenberg-dammit-files/000/00074_cw_df.pickle,1800
['Mark Twain'],[1835],[1910],['Mark'],['Twain'],['Not copyrighted in the United States.'],['English'],"['PS: Language and Literatures: American and Canadian literature', 'PZ: Language and Literatures: Juvenile belles lettres']",76,"['Bildungsromans', 'Humorous stories', 'Adventure stories', 'Missouri -- Fiction', 'Mississippi River -- Fiction', 'Boys -- Fiction', 'Race relations -- Fiction', 'Fugitive slaves -- Fiction', 'Male friendship -- Fiction', 'Runaway children -- Fiction', 'Finn, Huckleberry (Fictitious character) -- Fiction']",['Adventures of Huckleberry Finn'],us-ascii,76,000/00076.txt,/7/76/76.zip,1,11,True,../data/gutenberg-dammit-files/000/00076.txt,../data/gutenberg-dammit-files/000/00076_tagged.pickle,../data/gutenberg-dammit-files/000/00076_cw_df.pickle,1800
['Nathaniel Hawthorne'],[1804],[1864],['Nathaniel'],['Hawthorne'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],77,"['Occult fiction', 'Domestic fiction', 'Historical fiction', 'Salem (Mass.) -- Fiction', 'Haunted houses -- Fiction']",['House of the Seven Gables'],us-ascii,77,000/00077.txt,/7/77/77.zip,1,5,True,../data/gutenberg-dammit-files/000/00077.txt,../data/gutenberg-dammit-files/000/00077_tagged.pickle,../data/gutenberg-dammit-files/000/00077_cw_df.pickle,1800
['Edgar Rice Burroughs'],[1875],[1950],['Edgar Rice'],['Burroughs'],['Not copyrighted in the United States.'],['English'],['PS: Language and Literatures: American and Canadian literature'],78,"['Wild men -- Fiction', 'British -- Africa -- Fiction', 'Africa -- Fiction', 'Fantasy fiction', 'Adventure stories', 'Tarzan (Fictitious character) -- Fiction']",['Tarzan of the Apes'],us-ascii,78,000/00078.txt,/7/78/78.zip,1,6,True,../data/gutenberg-dammit-files/000/00078.txt,../data/gutenberg-dammit-files/000/00078_tagged.pickle,../data/gutenberg-dammit-files/000/00078_cw_df.pickle,1800
['Edgar Rice Burroughs'],[1875],[1950],['Edgar Rice'],['Burroughs'],['Not copyrighted in the United States.'],['English'],"['PZ: Language and Literatures: Juvenile belles lettres', 'PS: Language and Literatures: American and Canadian literature']",81,"['Fantasy fiction', 'Adventure stories', 'Tarzan (Fictitious character) -- Fiction']",['Return of Tarzan'],us-ascii,81,000/00081.txt,/8/81/81.zip,1,3,True,../data/gutenberg-dammit-files/000/00081.txt,../data/gutenberg-dammit-files/000/00081_tagged.pickle,../data/gutenberg-dammit-files/000/00081_cw_df.pickle,1800
['Sir Walter Scott'],[1771],[1832],['?'],['?'],['Not copyrighted in the United States.'],['English'],['PR: Language and Literatures: English literature'],82,"['Historical fiction', 'Great Britain -- History -- Richard I, 1189-1199 -- Fiction', 'Anglo-Saxons -- Fiction', 'Jews -- England -- Fiction', 'Knights and knighthood -- Fiction', 'Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction']",['Ivanhoe'],us-ascii,82,000/00082.txt,/8/82/82.zip,1,6,True,../data/gutenberg-dammit-files/000/00082.txt,../data/gutenberg-dammit-files/000/00082_tagged.pickle,../data/gutenberg-dammit-files/000/00082_cw_df.pickle,1700
